lag,threshold,influence,numberOfCorrectBumps,numberOfCorrectPotholes
30,0,0.25,0,0
30,10,0.25,0,0
30,20,0.25,0,0
30,30,0.25,0,0
40,0,0.25,0,0
40,10,0.25,0,0
40,20,0.25,0,0
40,30,0.25,0,0
50,0,0.25,0,0
50,10,0.25,0,0
50,20,0.25,0,0
50,30,0.25,0,0
60,0,0.25,0,0
60,10,0.25,0,0
60,20,0.25,0,0
60,30,0.25,0,0
70,0,0.25,0,0
70,10,0.25,0,0
70,20,0.25,0,0
70,30,0.25,0,0
30,0,0.25,0,0
30,10,0.25,0,6
30,20,0.25,0,4
30,30,0.25,0,4
40,0,0.25,0,0
40,10,0.25,0,0
40,20,0.25,0,5
40,30,0.25,0,4
50,0,0.25,0,0
50,10,0.25,0,0
50,20,0.25,0,4
50,30,0.25,0,3
60,0,0.25,0,0
60,10,0.25,0,0
60,20,0.25,0,4
60,30,0.25,0,3
70,0,0.25,0,0
70,10,0.25,0,0
70,20,0.25,0,4
70,30,0.25,0,3
30,0,0.25,0,0
30,10,0.25,14,6
30,20,0.25,12,4
30,30,0.25,11,4
40,0,0.25,0,0
30,10,0.25,14,6
30,10,0.25,14,6
30,10,0.25,14,6
30,10,0.25,14,6
50,10,0.25,14,5
30,0,0.25,0,0
30,5,0.25,17,6
30,10,0.25,14,6
30,15,0.25,12,5
30,20,0.25,12,4
30,25,0.25,11,4
30,30,0.25,11,4
35,0,0.25,0,0
35,5,0.25,15,5
35,10,0.25,14,5
35,15,0.25,12,4
35,20,0.25,12,5
35,25,0.25,11,4
35,30,0.25,11,4
40,0,0.25,0,0
40,5,0.25,16,4
40,10,0.25,14,5
40,15,0.25,12,4
40,20,0.25,12,5
40,25,0.25,11,4
40,30,0.25,11,4
45,0,0.25,0,0
45,5,0.25,15,4
45,10,0.25,14,5
45,15,0.25,13,4
45,20,0.25,12,5
45,25,0.25,11,3
45,30,0.25,11,3
50,0,0.25,0,0
50,5,0.25,15,4
50,10,0.25,14,5
50,15,0.25,13,4
50,20,0.25,12,4
50,25,0.25,12,3
50,30,0.25,11,3
55,0,0.25,0,0
55,5,0.25,15,4
55,10,0.25,14,6
55,15,0.25,13,4
55,20,0.25,13,4
55,25,0.25,12,4
55,30,0.25,11,3
60,0,0.25,0,0
60,5,0.25,16,4
60,10,0.25,14,6
60,15,0.25,13,4
60,20,0.25,13,4
60,25,0.25,12,4
60,30,0.25,11,3
65,0,0.25,0,0
65,5,0.25,16,4
65,10,0.25,14,6
65,15,0.25,13,4
65,20,0.25,13,4
65,25,0.25,12,4
65,30,0.25,11,3
70,0,0.25,0,0
70,5,0.25,16,4
70,10,0.25,14,6
70,15,0.25,13,5
70,20,0.25,13,4
70,25,0.25,12,4
70,30,0.25,11,3
30,5,0.25,17,6
50,10,0.25,14,5
40,5,0.25,0,0
40,6,0.25,0,6
40,7,0.25,0,6
40,8,0.25,14,6
40,9,0.25,14,6
40,10,0.25,14,5
40,11,0.25,14,5
40,12,0.25,13,5
40,13,0.25,13,4
40,14,0.25,13,4
40,15,0.25,12,4
45,5,0.25,0,0
45,6,0.25,0,6
45,7,0.25,14,6
45,8,0.25,14,6
45,9,0.25,14,6
45,10,0.25,14,5
45,11,0.25,13,5
45,12,0.25,13,5
45,13,0.25,13,5
45,14,0.25,13,4
45,15,0.25,13,4
50,5,0.25,0,0
50,6,0.25,0,5
50,7,0.25,14,6
50,8,0.25,14,6
50,9,0.25,14,6
50,10,0.25,14,5
50,11,0.25,14,5
50,12,0.25,13,5
50,13,0.25,13,5
50,14,0.25,13,4
50,15,0.25,13,4
55,5,0.25,0,0
55,6,0.25,0,5
55,7,0.25,14,6
55,8,0.25,14,6
55,9,0.25,14,6
55,10,0.25,14,6
55,11,0.25,14,5
55,12,0.25,13,5
55,13,0.25,13,5
55,14,0.25,13,4
55,15,0.25,13,4
60,5,0.25,0,0
60,6,0.25,0,5
60,7,0.25,14,6
60,8,0.25,14,6
60,9,0.25,14,6
60,10,0.25,14,6
60,11,0.25,13,5
60,12,0.25,13,5
60,13,0.25,13,5
60,14,0.25,13,5
60,15,0.25,13,4
55,7,0.25,14,6
