lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,filterThreshold
50,8.000000,0.250000,21,15,6,11,7,4,71.428571,63.636364,0.190000
50,8.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
50,8.000000,0.250000,21,16,5,11,4,7,76.190476,36.363636,0.210000
50,8.000000,0.250000,21,15,6,11,4,7,71.428571,36.363636,0.220000
50,8.000000,0.250000,21,14,7,11,3,8,66.666667,27.272727,0.230000
50,9.000000,0.250000,21,15,6,11,7,4,71.428571,63.636364,0.190000
50,9.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000
50,9.000000,0.250000,21,16,5,11,4,7,76.190476,36.363636,0.210000
50,9.000000,0.250000,21,15,6,11,4,7,71.428571,36.363636,0.220000
50,9.000000,0.250000,21,14,7,11,3,8,66.666667,27.272727,0.230000
50,10.000000,0.250000,21,15,6,11,6,5,71.428571,54.545455,0.190000
50,10.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000
50,10.000000,0.250000,21,16,5,11,3,8,76.190476,27.272727,0.210000
50,10.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.220000
50,10.000000,0.250000,21,14,7,11,2,9,66.666667,18.181818,0.230000
50,11.000000,0.250000,21,15,6,11,6,5,71.428571,54.545455,0.190000
50,11.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000
50,11.000000,0.250000,21,16,5,11,3,8,76.190476,27.272727,0.210000
50,11.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.220000
50,11.000000,0.250000,21,14,7,11,2,9,66.666667,18.181818,0.230000
50,12.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.190000
50,12.000000,0.250000,21,13,8,11,5,6,61.904762,45.454545,0.200000
50,12.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.210000
50,12.000000,0.250000,21,14,7,11,3,8,66.666667,27.272727,0.220000
50,12.000000,0.250000,21,13,8,11,2,9,61.904762,18.181818,0.230000
50,10.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.190000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.210000
50,10.000000,0.250000,21,14,7,11,1,10,66.666667,9.090909,0.220000
50,10.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.230000
50,12.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.190000
50,12.000000,0.250000,21,15,6,11,1,10,71.428571,9.090909,0.200000
50,12.000000,0.250000,21,14,7,11,1,10,66.666667,9.090909,0.210000
50,12.000000,0.250000,21,12,9,11,1,10,57.142857,9.090909,0.220000
50,12.000000,0.250000,21,11,10,11,1,10,52.380952,9.090909,0.230000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000
50,10.000000,0.250000,21,16,5,11,0,11,76.190476,0.000000,0.200000
50,10.000000,0.250000,21,16,5,11,0,11,76.190476,0.000000,0.200000
50,10.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.200000
50,10.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.200000
50,10.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.200000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000
